Date,Type,Category,Amount
2025-02-05,Sale,Others,332.76
2025-02-05,Sale,Others,105.94
2025-02-05,Sale,Others,50.05
2025-02-06,Sale,Others,286.2
2025-02-06,Expense,Insurance,205.37
2025-02-07,Sale,Others,113.44
2025-02-07,Sale,Others,250.95
2025-02-07,Expense,Insurance,256.02
2025-02-07,Sale,Others,56.8
2025-02-07,Sale,Others,440.72
2025-02-07,Sale,Others,406.24
2025-02-07,Sale,Others,170.91
2025-02-07,Sale,Others,109.86
2025-02-08,Sale,Others,54.98
2025-02-08,Sale,Others,251.15
2025-02-08,Sale,Others,52.43
2025-02-09,Sale,Others,304.56
2025-02-09,Expense,Maintenance,265.79
2025-02-09,Sale,Others,151.08
2025-02-09,Sale,Others,114.76
2025-02-09,Sale,Others,261.0
2025-02-10,Sale,Others,496.62
2025-02-11,Expense,Maintenance,240.49
2025-02-11,Sale,Others,259.0
2025-02-11,Sale,Others,100.6
2025-02-11,Sale,Others,324.24
2025-02-11,Expense,Taxes,299.51
2025-02-11,Sale,Others,261.45
2025-02-11,Sale,Others,320.4
2025-02-12,Sale,Others,205.84
2025-02-12,Sale,Others,108.46
2025-02-12,Sale,Others,340.56
2025-02-12,Sale,Others,268.4
2025-02-12,Expense,Supplies,352.7
2025-02-13,Sale,Others,50.39
2025-02-13,Sale,Others,270.75
2025-02-14,Sale,Others,496.89
2025-02-14,Sale,Others,509.76
2025-02-14,Sale,Others,469.53
2025-02-14,Sale,Others,151.08
2025-02-14,Sale,Others,316.44
2025-02-14,Sale,Others,251.5
2025-02-14,Sale,Others,300.42
2025-02-15,Sale,Others,250.7
2025-02-15,Sale,Others,100.18
2025-02-15,Sale,Others,272.8
2025-02-16,Sale,Others,220.44
2025-02-16,Sale,Others,215.72
2025-02-16,Sale,Others,264.65
2025-02-16,Sale,Others,156.36
2025-02-17,Sale,Others,112.56
2025-02-17,Sale,Others,336.3
2025-02-17,Sale,Others,105.74
2025-02-17,Sale,Others,203.48
2025-02-17,Sale,Others,439.36
2025-02-18,Sale,Others,220.88
2025-02-18,Sale,Others,112.88
2025-02-18,Sale,Others,344.52
2025-02-18,Sale,Others,411.6
2025-02-18,Sale,Others,406.64
2025-02-19,Sale,Others,165.9
2025-02-19,Sale,Others,50.36
2025-02-19,Sale,Others,308.4
2025-02-19,Sale,Others,495.09
2025-02-19,Sale,Others,455.36
2025-02-19,Sale,Others,514.35
2025-02-19,Sale,Others,101.68
2025-02-20,Sale,Others,156.21
2025-02-20,Sale,Others,567.2
2025-02-20,Sale,Others,540.3
2025-02-20,Sale,Others,52.74
2025-02-20,Sale,Others,316.92
2025-02-20,Sale,Others,352.8
2025-02-20,Sale,Others,342.72
2025-02-20,Sale,Others,55.57
2025-02-21,Sale,Others,53.91
2025-02-21,Sale,Others,52.82
2025-02-21,Sale,Others,55.27
2025-02-21,Sale,Others,268.2
2025-02-21,Sale,Others,341.4
2025-02-21,Expense,Salaries,5410.02
2025-02-21,Expense,Utilities,323.33
2025-02-22,Sale,Others,399.35
2025-02-22,Sale,Others,163.2
2025-02-22,Sale,Others,317.88
2025-02-22,Sale,Others,259.4
2025-02-22,Expense,Insurance,213.05
2025-02-22,Sale,Others,562.3
2025-02-22,Sale,Others,157.59
2025-02-22,Sale,Others,319.38
2025-02-22,Sale,Others,544.1
2025-02-23,Sale,Others,320.7
2025-02-23,Sale,Others,468.81
2025-02-23,Sale,Others,355.81
2025-02-23,Sale,Others,513.2
2025-02-24,Sale,Others,208.4
2025-02-24,Sale,Others,104.26
2025-02-24,Sale,Others,557.4
2025-02-25,Sale,Others,222.32
2025-02-25,Expense,Others,163.83
2025-02-25,Sale,Others,52.64
2025-02-25,Sale,Others,203.08
2025-02-26,Sale,Others,409.28
2025-02-26,Sale,Others,566.1
2025-02-26,Sale,Others,450.4
2025-02-27,Sale,Others,109.46
2025-02-27,Sale,Others,223.36
2025-02-27,Sale,Others,100.9
2025-02-27,Sale,Others,269.05
2025-02-27,Sale,Others,158.64
2025-02-27,Sale,Others,453.96
2025-02-27,Sale,Others,332.64
2025-02-27,Sale,Others,410.88
2025-02-27,Sale,Others,333.06
2025-02-27,Sale,Others,161.37
2025-02-27,Sale,Others,444.24
2025-02-28,Sale,Others,157.77
2025-02-28,Sale,Others,55.55
2025-02-28,Expense,Taxes,252.2
2025-02-28,Sale,Others,225.64
2025-02-28,Sale,Others,51.58
2025-02-28,Sale,Others,531.7
2025-02-28,Sale,Others,328.02
2025-02-28,Sale,Others,51.47
2025-03-01,Sale,Others,552.5
2025-03-01,Sale,Others,160.2
2025-03-01,Sale,Others,51.55
2025-03-01,Sale,Others,454.24
2025-03-01,Sale,Others,107.32
2025-03-02,Sale,Others,162.99
2025-03-02,Sale,Others,418.48
2025-03-02,Sale,Others,488.43
2025-03-02,Sale,Others,359.66
2025-03-02,Sale,Others,385.77
2025-03-02,Sale,Others,112.46
2025-03-03,Sale,Others,51.6
2025-03-03,Sale,Others,569.9
2025-03-04,Sale,Others,464.94
2025-03-04,Sale,Others,102.12
2025-03-04,Sale,Others,213.88
2025-03-04,Expense,Maintenance,191.35
2025-03-04,Sale,Others,201.44
2025-03-04,Sale,Others,433.6
2025-03-05,Sale,Others,106.1
2025-03-05,Sale,Others,103.88
2025-03-05,Sale,Others,53.95
2025-03-05,Sale,Others,165.78
2025-03-05,Sale,Others,380.73
2025-03-06,Sale,Others,301.74
2025-03-06,Sale,Others,54.28
2025-03-06,Sale,Others,56.33
2025-03-07,Sale,Others,446.88
2025-03-07,Sale,Others,324.3
2025-03-07,Sale,Others,217.36
2025-03-07,Expense,Others,114.97
2025-03-07,Sale,Others,427.44
2025-03-07,Sale,Others,427.12
2025-03-08,Sale,Others,104.68
2025-03-08,Sale,Others,512.8
2025-03-08,Sale,Others,203.52
2025-03-08,Sale,Others,365.96
2025-03-08,Sale,Others,560.4
2025-03-08,Sale,Others,548.3
2025-03-09,Sale,Others,203.88
2025-03-09,Sale,Others,156.06
2025-03-09,Sale,Others,56.61
2025-03-09,Sale,Others,336.0
2025-03-10,Sale,Others,151.74
2025-03-10,Sale,Others,451.62
2025-03-10,Sale,Others,456.32
2025-03-11,Expense,Insurance,251.13
2025-03-11,Sale,Others,55.11
2025-03-11,Sale,Others,56.87
2025-03-11,Sale,Others,450.45
2025-03-11,Sale,Others,496.89
2025-03-11,Sale,Others,153.33
2025-03-12,Expense,Marketing,725.63
2025-03-12,Sale,Others,563.3
2025-03-12,Sale,Others,170.76
2025-03-12,Sale,Others,101.12
2025-03-12,Sale,Others,551.4
2025-03-12,Sale,Others,326.4
2025-03-12,Sale,Others,301.2
2025-03-12,Sale,Others,217.64
2025-03-12,Sale,Others,436.88
2025-03-12,Sale,Others,108.9
2025-03-13,Sale,Others,359.8
2025-03-13,Sale,Others,496.8
2025-03-14,Sale,Others,54.97
2025-03-14,Sale,Others,388.5
2025-03-14,Sale,Others,305.94
2025-03-15,Sale,Others,382.34
2025-03-16,Sale,Others,375.55
2025-03-16,Sale,Others,502.6
2025-03-16,Expense,Others,30.36
2025-03-16,Sale,Others,164.43
2025-03-16,Sale,Others,114.5
2025-03-16,Sale,Others,105.28
2025-03-16,Expense,Marketing,503.41
2025-03-16,Sale,Others,343.86
2025-03-16,Sale,Others,307.5
2025-03-16,Sale,Others,561.6
2025-03-16,Sale,Others,57.15
2025-03-17,Sale,Others,311.64
2025-03-17,Sale,Others,468.63
2025-03-17,Sale,Others,500.67
2025-03-17,Sale,Others,352.1
2025-03-18,Sale,Others,526.6
2025-03-18,Sale,Others,252.65
2025-03-18,Sale,Others,309.66
2025-03-19,Sale,Others,406.56
2025-03-19,Sale,Others,445.84
2025-03-19,Expense,Salaries,5310.42
2025-03-19,Sale,Others,369.88
2025-03-19,Sale,Others,373.66
2025-03-19,Sale,Others,112.98
2025-03-19,Sale,Others,500.76
2025-03-19,Sale,Others,310.74
2025-03-19,Sale,Others,205.12
2025-03-19,Sale,Others,399.91
2025-03-19,Sale,Others,472.05
2025-03-20,Sale,Others,530.9
2025-03-20,Sale,Others,519.3
2025-03-20,Sale,Others,434.56
2025-03-20,Sale,Others,396.27
2025-03-21,Sale,Others,100.48
2025-03-21,Expense,Others,34.44
2025-03-21,Sale,Others,224.04
2025-03-21,Sale,Others,500.1
2025-03-22,Expense,Salaries,4973.39
2025-03-22,Sale,Others,203.36
2025-03-22,Sale,Others,321.42
2025-03-23,Sale,Others,401.8
2025-03-23,Sale,Others,339.12
2025-03-23,Sale,Others,52.49
2025-03-23,Sale,Others,441.52
2025-03-23,Sale,Others,156.27
2025-03-23,Sale,Others,150.99
2025-03-24,Sale,Others,254.6
2025-03-24,Sale,Others,213.52
2025-03-24,Sale,Others,386.54
2025-03-24,Sale,Others,109.42
2025-03-24,Sale,Others,169.56
2025-03-25,Expense,Rent,2517.5
2025-03-25,Sale,Others,302.22
2025-03-25,Sale,Others,497.7
2025-03-25,Sale,Others,161.58
2025-03-26,Sale,Others,447.36
2025-03-27,Sale,Others,521.8
2025-03-27,Sale,Others,169.98
2025-03-27,Sale,Others,383.88
2025-03-27,Sale,Others,506.3
2025-03-28,Sale,Others,556.9
2025-03-28,Sale,Others,56.26
2025-03-28,Sale,Others,218.0
2025-03-28,Sale,Others,414.0
2025-03-29,Sale,Others,511.56
2025-03-29,Sale,Others,270.8
2025-03-29,Sale,Others,319.26
2025-03-29,Sale,Others,543.1
2025-03-29,Sale,Others,321.66
2025-03-29,Sale,Others,113.84
2025-03-29,Sale,Others,413.36
2025-03-30,Sale,Others,277.75
2025-03-30,Sale,Others,325.92
2025-03-30,Expense,Marketing,877.19
2025-03-30,Sale,Others,212.76
2025-03-30,Sale,Others,54.65
2025-03-30,Sale,Others,529.5
2025-03-30,Sale,Others,410.8
2025-03-31,Sale,Others,206.2
2025-03-31,Sale,Others,217.48
2025-03-31,Sale,Others,253.75
2025-03-31,Sale,Others,338.58
2025-04-01,Sale,Others,573.8
2025-04-01,Sale,Others,114.06
2025-04-01,Sale,Others,170.52
2025-04-01,Sale,Others,309.18
2025-04-01,Sale,Others,229.96
2025-04-01,Sale,Others,377.3
2025-04-02,Expense,Maintenance,63.14
2025-04-02,Sale,Others,54.18
2025-04-02,Sale,Others,210.12
2025-04-02,Sale,Others,212.92
2025-04-02,Sale,Others,264.0
2025-04-02,Sale,Others,163.47
2025-04-03,Sale,Others,275.4
2025-04-04,Sale,Others,459.92
2025-04-04,Sale,Others,308.64
2025-04-04,Sale,Others,223.68
2025-04-04,Expense,Others,86.9
2025-04-04,Sale,Others,407.04
2025-04-05,Sale,Others,216.52
2025-04-05,Sale,Others,275.6
2025-04-05,Sale,Others,530.4
2025-04-05,Sale,Others,315.0
2025-04-06,Sale,Others,104.98
2025-04-06,Sale,Others,320.7
2025-04-06,Sale,Others,102.52
2025-04-06,Sale,Others,163.29
2025-04-06,Expense,Maintenance,82.27
2025-04-07,Sale,Others,364.14
2025-04-07,Sale,Others,111.9
2025-04-08,Expense,Utilities,462.55
2025-04-08,Sale,Others,54.06
2025-04-09,Sale,Others,102.26
2025-04-09,Sale,Others,252.05
2025-04-09,Expense,Salaries,5498.32
2025-04-09,Sale,Others,320.28
2025-04-09,Sale,Others,207.44
2025-04-09,Sale,Others,533.0
2025-04-09,Sale,Others,166.44
2025-04-09,Sale,Others,488.07
2025-04-10,Sale,Others,484.2
2025-04-10,Sale,Others,286.2
2025-04-10,Sale,Others,103.7
2025-04-10,Sale,Others,157.47
2025-04-11,Expense,Maintenance,283.61
2025-04-11,Sale,Others,113.7
2025-04-11,Sale,Others,103.92
2025-04-11,Sale,Others,306.42
2025-04-11,Sale,Others,53.89
2025-04-12,Sale,Others,332.7
2025-04-12,Sale,Others,161.46
2025-04-12,Sale,Others,336.18
2025-04-12,Sale,Others,371.84
2025-04-12,Sale,Others,379.61
2025-04-12,Sale,Others,444.8
2025-04-12,Expense,Maintenance,280.9
2025-04-12,Sale,Others,225.04
2025-04-13,Sale,Others,152.88
2025-04-13,Sale,Others,170.85
2025-04-13,Sale,Others,400.16
2025-04-13,Sale,Others,412.56
2025-04-13,Sale,Others,161.73
2025-04-14,Sale,Others,108.44
2025-04-14,Expense,Utilities,440.76
2025-04-14,Sale,Others,163.86
2025-04-14,Sale,Others,479.16
2025-04-14,Sale,Others,162.96
2025-04-14,Sale,Others,159.18
2025-04-15,Sale,Others,253.75
2025-04-15,Sale,Others,270.25
2025-04-15,Sale,Others,202.16
2025-04-15,Sale,Others,497.7
2025-04-15,Sale,Others,256.8
2025-04-15,Expense,Insurance,268.55
2025-04-16,Sale,Others,516.42
2025-04-16,Sale,Others,229.16
2025-04-16,Sale,Others,150.09
2025-04-16,Sale,Others,408.24
2025-04-17,Sale,Others,170.79
2025-04-17,Sale,Others,367.71
2025-04-18,Sale,Others,107.5
2025-04-18,Sale,Others,517.4
2025-04-18,Sale,Others,318.72
2025-04-18,Sale,Others,334.02
2025-04-18,Expense,Supplies,729.94
2025-04-18,Expense,Supplies,760.67
2025-04-18,Sale,Others,415.52
2025-04-18,Sale,Others,437.84
2025-04-18,Sale,Others,229.8
2025-04-18,Sale,Others,228.88
2025-04-18,Sale,Others,107.04
2025-04-19,Expense,Others,121.78
2025-04-19,Sale,Others,432.16
2025-04-19,Sale,Others,491.22
2025-04-19,Sale,Others,255.4
2025-04-20,Sale,Others,305.94
2025-04-20,Sale,Others,313.62
2025-04-20,Sale,Others,547.8
2025-04-20,Sale,Others,161.94
2025-04-20,Expense,Rent,2557.95
2025-04-20,Sale,Others,565.4
2025-04-20,Sale,Others,102.46
2025-04-21,Sale,Others,283.75
2025-04-21,Sale,Others,263.6
2025-04-21,Sale,Others,273.4
2025-04-21,Sale,Others,391.72
2025-04-21,Sale,Others,111.02
2025-04-22,Sale,Others,164.94
2025-04-22,Sale,Others,217.48
2025-04-22,Sale,Others,567.9
2025-04-22,Sale,Others,454.0
2025-04-22,Sale,Others,166.11
2025-04-23,Sale,Others,110.68
2025-04-23,Sale,Others,100.84
2025-04-24,Sale,Others,53.65
2025-04-24,Sale,Others,452.24
2025-04-25,Sale,Others,504.63
2025-04-25,Sale,Others,515.0
2025-04-25,Expense,Supplies,695.93
2025-04-25,Sale,Others,101.62
2025-04-25,Sale,Others,200.72
2025-04-25,Sale,Others,283.25
2025-04-25,Sale,Others,107.98
2025-04-26,Sale,Others,499.95
2025-04-26,Sale,Others,422.0
2025-04-26,Sale,Others,113.96
2025-04-26,Sale,Others,464.31
2025-04-26,Sale,Others,275.0
2025-04-26,Expense,Others,140.29
2025-04-26,Sale,Others,379.75
2025-04-26,Sale,Others,559.2
2025-04-26,Sale,Others,286.4
2025-04-26,Sale,Others,393.33
2025-04-27,Sale,Others,313.14
2025-04-27,Sale,Others,282.95
2025-04-28,Sale,Others,354.76
2025-04-28,Sale,Others,384.44
2025-04-28,Sale,Others,369.18
2025-04-28,Sale,Others,553.6
2025-04-28,Sale,Others,494.01
2025-04-28,Sale,Others,308.16
2025-04-28,Sale,Others,158.67
2025-04-28,Sale,Others,55.13
2025-04-28,Sale,Others,207.92
2025-04-28,Sale,Others,57.13
2025-04-28,Sale,Others,485.1
2025-04-30,Sale,Others,352.45
2025-04-30,Sale,Others,251.05
2025-04-30,Sale,Others,369.81
2025-04-30,Sale,Others,269.55
2025-04-30,Sale,Others,553.2
2025-05-01,Sale,Others,437.68
2025-05-01,Sale,Others,56.16
2025-05-01,Sale,Others,209.72
2025-05-01,Sale,Others,50.96
2025-05-01,Sale,Others,284.35
2025-05-01,Sale,Others,150.84
2025-05-02,Sale,Others,468.09
2025-05-02,Sale,Others,456.4
2025-05-02,Expense,Taxes,436.48
2025-05-02,Sale,Others,269.25
2025-05-02,Sale,Others,331.62
2025-05-02,Sale,Others,156.3
2025-05-02,Sale,Others,568.8
2025-05-03,Sale,Others,350.84
2025-05-03,Sale,Others,360.43
2025-05-03,Sale,Others,381.15
2025-05-04,Sale,Others,104.42
2025-05-04,Sale,Others,312.6
2025-05-04,Sale,Others,156.21
2025-05-04,Sale,Others,522.2
2025-05-04,Sale,Others,401.6
2025-05-05,Sale,Others,107.12
2025-05-05,Sale,Others,212.88
2025-05-05,Sale,Others,50.3
2025-05-05,Sale,Others,459.12
2025-05-05,Sale,Others,112.2
2025-05-05,Sale,Others,304.14
2025-05-05,Sale,Others,416.24
2025-05-05,Expense,Maintenance,172.96
2025-05-06,Sale,Others,251.35
2025-05-06,Sale,Others,50.88
2025-05-06,Sale,Others,255.55
2025-05-06,Sale,Others,489.33
2025-05-07,Sale,Others,285.1
2025-05-07,Sale,Others,303.54
2025-05-07,Sale,Others,399.49
2025-05-08,Sale,Others,105.22
2025-05-08,Sale,Others,512.8
2025-05-08,Sale,Others,443.76
2025-05-08,Sale,Others,400.48
2025-05-08,Sale,Others,56.14
2025-05-08,Sale,Others,304.98
2025-05-08,Sale,Others,282.85
2025-05-09,Sale,Others,157.23
2025-05-09,Sale,Others,305.64
2025-05-09,Sale,Others,210.0
2025-05-09,Expense,Supplies,617.91
2025-05-09,Sale,Others,50.74
2025-05-09,Sale,Others,476.37
2025-05-09,Sale,Others,266.75
2025-05-10,Sale,Others,453.52
2025-05-10,Sale,Others,478.98
2025-05-10,Sale,Others,526.7
2025-05-10,Sale,Others,506.3
2025-05-10,Sale,Others,157.56
2025-05-11,Sale,Others,505.6
2025-05-11,Sale,Others,227.44
2025-05-11,Sale,Others,219.88
2025-05-11,Sale,Others,362.39
2025-05-11,Sale,Others,476.73
2025-05-11,Expense,Rent,2916.85
2025-05-11,Sale,Others,164.58
2025-05-11,Sale,Others,544.5
2025-05-12,Sale,Others,520.0
2025-05-13,Sale,Others,224.12
2025-05-13,Sale,Others,165.54
2025-05-13,Sale,Others,56.88
2025-05-13,Expense,Utilities,430.06
2025-05-14,Expense,Utilities,388.54
2025-05-14,Sale,Others,421.04
2025-05-14,Sale,Others,276.8
2025-05-15,Sale,Others,328.98
2025-05-15,Sale,Others,281.25
2025-05-15,Sale,Others,54.08
2025-05-16,Sale,Others,574.2
2025-05-16,Sale,Others,108.08
2025-05-17,Sale,Others,203.96
2025-05-17,Sale,Others,286.15
2025-05-17,Sale,Others,227.32
2025-05-17,Sale,Others,529.7
2025-05-18,Sale,Others,51.85
2025-05-18,Sale,Others,229.64
2025-05-19,Sale,Others,460.44
2025-05-19,Sale,Others,100.6
2025-05-19,Sale,Others,302.34
2025-05-19,Sale,Others,515.6
2025-05-19,Sale,Others,545.6
2025-05-19,Sale,Others,109.58
2025-05-19,Sale,Others,484.74
2025-05-19,Sale,Others,500.9
2025-05-20,Sale,Others,206.04
2025-05-20,Sale,Others,287.3
2025-05-20,Sale,Others,171.51
2025-05-20,Sale,Others,532.6
2025-05-21,Sale,Others,358.89
2025-05-21,Sale,Others,476.82
2025-05-21,Sale,Others,310.38
2025-05-21,Expense,Maintenance,264.91
2025-05-21,Sale,Others,508.4
2025-05-21,Sale,Others,545.6
2025-05-22,Sale,Others,459.27
2025-05-22,Sale,Others,55.57
2025-05-22,Sale,Others,52.88
2025-05-22,Sale,Others,502.47
2025-05-23,Sale,Others,380.31
2025-05-23,Sale,Others,101.66
2025-05-24,Sale,Others,55.41
2025-05-24,Sale,Others,443.12
2025-05-24,Sale,Others,215.0
2025-05-24,Sale,Others,304.5
2025-05-24,Sale,Others,261.45
2025-05-24,Sale,Others,152.1
2025-05-24,Sale,Others,306.42
2025-05-24,Sale,Others,160.56
2025-05-25,Expense,Utilities,569.59
2025-05-25,Sale,Others,404.88
2025-05-25,Sale,Others,333.6
2025-05-25,Expense,Marketing,783.65
2025-05-25,Sale,Others,156.06
2025-05-26,Sale,Others,525.8
2025-05-26,Sale,Others,306.42
2025-05-26,Sale,Others,531.8
2025-05-26,Sale,Others,100.88
2025-05-26,Sale,Others,53.14
2025-05-26,Expense,Rent,2512.37
2025-05-26,Sale,Others,521.7
2025-05-27,Sale,Others,509.31
2025-05-27,Sale,Others,104.6
2025-05-27,Sale,Others,415.92
2025-05-27,Sale,Others,400.24
2025-05-27,Sale,Others,52.57
2025-05-27,Sale,Others,264.0
2025-05-27,Sale,Others,57.31
2025-05-27,Sale,Others,460.0
2025-05-27,Sale,Others,103.16
2025-05-28,Sale,Others,474.84
2025-05-29,Sale,Others,436.72
2025-05-29,Expense,Supplies,611.08
2025-05-29,Expense,Others,188.21
2025-05-29,Expense,Insurance,221.06
2025-05-29,Sale,Others,518.1
2025-05-30,Sale,Others,53.18
2025-05-30,Sale,Others,380.8
2025-05-30,Sale,Others,519.0
2025-05-30,Sale,Others,457.6
2025-05-30,Sale,Others,167.04
2025-05-31,Sale,Others,394.1
2025-05-31,Sale,Others,449.44
2025-05-31,Sale,Others,270.55
2025-05-31,Sale,Others,53.7
2025-06-01,Sale,Others,100.32
2025-06-01,Sale,Others,266.8
2025-06-01,Sale,Others,482.49
2025-06-01,Sale,Others,352.66
2025-06-01,Sale,Others,398.09
2025-06-01,Sale,Others,271.3
2025-06-02,Sale,Others,216.64
2025-06-02,Sale,Others,534.0
2025-06-02,Sale,Others,457.47
2025-06-03,Sale,Others,431.92
2025-06-03,Expense,Insurance,223.36
2025-06-03,Sale,Others,312.66
2025-06-03,Sale,Others,107.64
2025-06-04,Expense,Insurance,256.31
2025-06-04,Sale,Others,107.24
2025-06-04,Sale,Others,512.01
2025-06-04,Sale,Others,377.02
2025-06-04,Sale,Others,517.6
