Date,Type,Category,Product,COGS_Unit,Quantity,Sale_Price,Total_Revenue,Total_Profit
2024-02-18,Sales,Others,Salt (1kg),20.0,2,28.0,56.0,16.0
2024-02-18,Sales,Produce,Coriander Leaves (Bunch),5.0,2,10.0,20.0,10.0
2024-02-18,Sales,Produce,Lady Finger (500g),25.0,4,45.0,180.0,80.0
2024-02-18,Sales,Produce,Pomegranate (1kg),140.0,1,200.0,200.0,60.0
2024-02-18,Sales,Produce,Spinach/Palak (Bunch),15.0,4,25.0,100.0,40.0
2024-02-18,Sales,Bakery,Nankhatai (250g),70.0,1,120.0,120.0,50.0
2024-02-18,Sales,Dairy,Paneer (200g),75.0,2,110.0,220.0,70.0
2024-02-19,Sales,Dairy,Fresh Cream (250ml),55.0,4,75.0,300.0,80.0
2024-02-19,Sales,Dairy,Mozzarella Cheese (200g),115.0,2,190.0,380.0,150.0
2024-02-19,Sales,Bakery,Nankhatai (250g),70.0,1,120.0,120.0,50.0
2024-02-19,Sales,Produce,Potatoes (1kg),25.0,1,40.0,40.0,15.0
2024-02-19,Sales,Dairy,Probiotic Drink (5pk),60.0,4,85.0,340.0,100.0
2024-02-19,Sales,Dairy,Fresh Cream (250ml),55.0,4,75.0,300.0,80.0
2024-02-19,Sales,Bakery,Brown Bread (Large),45.0,2,60.0,120.0,30.0
2024-02-19,Sales,Others,Marie Biscuit (Pack),25.0,5,40.0,200.0,75.0
2024-02-19,Sales,Produce,Papaya (1kg),40.0,5,70.0,350.0,150.0
2024-02-19,Expenses,Maintenance,Equipment Service,0.0,1,0.0,0.0,-483.2665636125408
2024-02-19,Sales,Bakery,Veg Patty (Piece),15.0,5,30.0,150.0,75.0
2024-02-19,Sales,Produce,Pomegranate (1kg),140.0,2,200.0,400.0,120.0
2024-02-19,Expenses,Marketing,Display Signs,0.0,1,0.0,0.0,-694.1633174710005
2024-02-19,Expenses,Marketing,Display Signs,0.0,1,0.0,0.0,-469.1724606385846
2024-02-19,Expenses,Marketing,Social Media Boost,0.0,1,0.0,0.0,-502.3582252464638
2024-02-19,Expenses,Supplies,Cleaning Agents,0.0,1,0.0,0.0,-351.1796464229892
2024-02-19,Expenses,Others,Petty Cash,0.0,1,0.0,0.0,-153.00364774420393
2024-02-19,Expenses,Others,Transport/Logistics,0.0,1,0.0,0.0,-241.12928632076301
2024-02-19,Sales,Dairy,Buttermilk/Chaas (500ml),15.0,3,25.0,75.0,30.0
2024-02-19,Sales,Others,Sunflower Oil (1L),115.0,5,155.0,775.0,200.0
2024-02-19,Sales,Bakery,Eggless Vanilla Cake (500g),300.0,3,450.0,1350.0,450.0
2024-02-19,Sales,Dairy,Full Cream Milk (1L),62.0,4,72.0,288.0,40.0
2024-02-19,Sales,Dairy,Probiotic Drink (5pk),60.0,2,85.0,170.0,50.0
2024-02-19,Sales,Others,Ashirvaad Atta (5kg),245.0,1,295.0,295.0,50.0
2024-02-19,Sales,Dairy,Paneer (200g),75.0,1,110.0,110.0,35.0
2024-02-19,Sales,Dairy,Ghee (1L),550.0,4,680.0,2720.0,520.0
2024-02-19,Sales,Produce,Green Peas (500g),40.0,1,70.0,70.0,30.0
2024-02-19,Sales,Others,Maggi Noodles (Pack of 12),140.0,5,168.0,840.0,140.0
2024-02-19,Sales,Bakery,Eggless Vanilla Cake (500g),300.0,4,450.0,1800.0,600.0
2024-02-19,Sales,Meat,Pomfret Fish (Piece),250.0,3,450.0,1350.0,600.0
2024-02-19,Sales,Others,Sunflower Oil (1L),115.0,3,155.0,465.0,120.0
2024-02-19,Sales,Produce,Potatoes (1kg),25.0,3,40.0,120.0,45.0
2024-02-19,Sales,Meat,Tiger Shrimp (500g),400.0,3,650.0,1950.0,750.0
2024-02-19,Sales,Produce,Potatoes (1kg),25.0,5,40.0,200.0,75.0
2024-02-19,Sales,Bakery,Rusk / Toast (250g),40.0,3,65.0,195.0,75.0
2024-02-19,Sales,Dairy,Mozzarella Cheese (200g),115.0,1,190.0,190.0,75.0
2024-02-19,Sales,Dairy,Buttermilk/Chaas (500ml),15.0,1,25.0,25.0,10.0
2024-02-19,Sales,Produce,Papaya (1kg),40.0,4,70.0,280.0,120.0
2024-02-19,Sales,Meat,Eggs - Brown (dz),90.0,4,125.0,500.0,140.0
2024-02-19,Sales,Bakery,Rusk / Toast (250g),40.0,3,65.0,195.0,75.0
2024-02-19,Sales,Dairy,Amul Butter (500g),240.0,2,285.0,570.0,90.0
2024-02-20,Sales,Meat,Chicken Curry Cut (1kg),180.0,5,260.0,1300.0,400.0
2024-02-20,Sales,Dairy,Fresh Cream (250ml),55.0,4,75.0,300.0,80.0
2024-02-20,Sales,Others,Basmati Rice (5kg),450.0,5,750.0,3750.0,1500.0
2024-02-20,Sales,Produce,Ginger (100g),15.0,3,30.0,90.0,45.0
2024-02-20,Sales,Bakery,Nankhatai (250g),70.0,3,120.0,360.0,150.0
2024-02-20,Sales,Meat,Eggs - White (dz),70.0,4,90.0,360.0,80.0
2024-02-20,Sales,Bakery,Brown Bread (Large),45.0,1,60.0,60.0,15.0
2024-02-20,Sales,Meat,Rohu Fish (1kg),160.0,2,240.0,480.0,160.0
2024-02-20,Sales,Produce,Alphonso Mangoes (1kg),350.0,1,500.0,500.0,150.0
2024-02-20,Sales,Others,Salt (1kg),20.0,5,28.0,140.0,40.0
2024-02-20,Sales,Produce,Red Onions (1kg),35.0,1,50.0,50.0,15.0
2024-02-20,Expenses,Supplies,Cleaning Agents,0.0,1,0.0,0.0,-379.5876846421356
2024-02-20,Sales,Dairy,Paneer (200g),75.0,5,110.0,550.0,175.0
2024-02-20,Sales,Others,Turmeric Powder (200g),45.0,5,75.0,375.0,150.0
2024-02-20,Expenses,Supplies,Office Stationary,0.0,1,0.0,0.0,-227.4851670866867
2024-02-20,Expenses,Maintenance,Waste Disposal,0.0,1,0.0,0.0,-676.356911364794
2024-02-20,Expenses,Others,Transport/Logistics,0.0,1,0.0,0.0,-274.90243735667843
2024-02-20,Expenses,Others,Transport/Logistics,0.0,1,0.0,0.0,-88.97577838478503
2024-02-20,Expenses,Utilities,Gas Cylinder,0.0,1,0.0,0.0,-387.1624894579346
2024-02-20,Expenses,Others,Petty Cash,0.0,1,0.0,0.0,-250.14288409203905
2024-02-20,Expenses,Maintenance,Waste Disposal,0.0,1,0.0,0.0,-341.6601658243819
2024-02-20,Expenses,Utilities,Internet Data Top-up,0.0,1,0.0,0.0,-274.2468373920052
2024-02-20,Sales,Produce,Ginger (100g),15.0,3,30.0,90.0,45.0
2024-02-20,Sales,Bakery,Pav Bun (6pk),25.0,5,40.0,200.0,75.0
2024-02-20,Sales,Dairy,Cheese Slices (10pk),130.0,2,175.0,350.0,90.0
2024-02-20,Sales,Bakery,Fruit Bun (2pk),20.0,2,35.0,70.0,30.0
2024-02-20,Sales,Dairy,Amul Butter (500g),240.0,1,285.0,285.0,45.0
2024-02-20,Sales,Produce,Desi Tomatoes (1kg),30.0,4,50.0,200.0,80.0
2024-02-20,Sales,Bakery,Brown Bread (Large),45.0,2,60.0,120.0,30.0
2024-02-20,Sales,Bakery,Multigrain Bread (400g),55.0,4,75.0,300.0,80.0
2024-02-20,Sales,Bakery,Nankhatai (250g),70.0,3,120.0,360.0,150.0
2024-02-20,Sales,Produce,Lady Finger (500g),25.0,1,45.0,45.0,20.0
2024-02-20,Sales,Bakery,Garlic Toast (Pack),50.0,1,90.0,90.0,40.0
2024-02-20,Sales,Produce,Potatoes (1kg),25.0,3,40.0,120.0,45.0
2024-02-20,Sales,Bakery,Milk Bread (Large),35.0,5,45.0,225.0,50.0
2024-02-20,Sales,Others,Maggi Noodles (Pack of 12),140.0,3,168.0,504.0,84.0
2024-02-20,Sales,Meat,Chicken Drumsticks (500g),140.0,5,220.0,1100.0,400.0
2024-02-20,Sales,Others,Maggi Noodles (Pack of 12),140.0,1,168.0,168.0,28.0
2024-02-20,Sales,Produce,Bananas (12 units),40.0,4,60.0,240.0,80.0
2024-02-20,Sales,Bakery,Brown Bread (Large),45.0,5,60.0,300.0,75.0
2024-02-20,Sales,Others,Red Chilli Powder (200g),60.0,2,95.0,190.0,70.0
2024-02-20,Sales,Bakery,Pav Bun (6pk),25.0,4,40.0,160.0,60.0
2024-02-20,Sales,Dairy,Skimmed Milk Powder (500g),220.0,2,310.0,620.0,180.0
2024-02-20,Sales,Dairy,Mozzarella Cheese (200g),115.0,2,190.0,380.0,150.0
2024-02-20,Sales,Dairy,Flavoured Milk (200ml),25.0,2,40.0,80.0,30.0
2024-02-20,Sales,Produce,Spinach/Palak (Bunch),15.0,4,25.0,100.0,40.0
2024-02-20,Sales,Dairy,Cheese Slices (10pk),130.0,1,175.0,175.0,45.0
2024-02-20,Sales,Produce,Potatoes (1kg),25.0,5,40.0,200.0,75.0
2024-02-20,Sales,Others,Sunflower Oil (1L),115.0,5,155.0,775.0,200.0
2024-02-20,Sales,Others,Marie Biscuit (Pack),25.0,5,40.0,200.0,75.0
2024-02-20,Sales,Others,Red Chilli Powder (200g),60.0,2,95.0,190.0,70.0
2024-02-21,Sales,Meat,Buff Meat (1kg),280.0,4,400.0,1600.0,480.0
2024-02-21,Sales,Dairy,Ghee (1L),550.0,4,680.0,2720.0,520.0
2024-02-21,Sales,Produce,Pomegranate (1kg),140.0,2,200.0,400.0,120.0
2024-02-21,Sales,Produce,Desi Tomatoes (1kg),30.0,3,50.0,150.0,60.0
2024-02-21,Sales,Bakery,Chocolate Cake (500g),350.0,5,550.0,2750.0,1000.0
2024-02-21,Sales,Meat,Bacon Strips (200g),250.0,2,420.0,840.0,340.0
2024-02-21,Sales,Meat,Pomfret Fish (Piece),250.0,4,450.0,1800.0,800.0
2024-02-21,Sales,Meat,Chicken Curry Cut (1kg),180.0,3,260.0,780.0,240.0
2024-02-21,Expenses,Maintenance,Daily Cleaning,0.0,1,0.0,0.0,-578.6730783147848
2024-02-21,Sales,Produce,Coriander Leaves (Bunch),5.0,2,10.0,20.0,10.0
2024-02-21,Expenses,Maintenance,Equipment Service,0.0,1,0.0,0.0,-408.8300070344467
2024-02-21,Expenses,Maintenance,Daily Cleaning,0.0,1,0.0,0.0,-429.5510684639273
2024-02-21,Expenses,Supplies,Office Stationary,0.0,1,0.0,0.0,-469.0299814918147
2024-02-21,Expenses,Maintenance,Equipment Service,0.0,1,0.0,0.0,-437.6322976807745
2024-02-21,Expenses,Others,Loading/Unloading,0.0,1,0.0,0.0,-233.26933489836864
2024-02-21,Sales,Dairy,Full Cream Milk (1L),62.0,5,72.0,360.0,50.0
2024-02-21,Sales,Dairy,Paneer (200g),75.0,5,110.0,550.0,175.0
2024-02-21,Sales,Dairy,Cheese Slices (10pk),130.0,1,175.0,175.0,45.0
2024-02-21,Sales,Meat,Chicken Sausages (250g),110.0,1,180.0,180.0,70.0
2024-02-21,Sales,Others,Turmeric Powder (200g),45.0,5,75.0,375.0,150.0
2024-02-21,Sales,Others,Toor Dal (1kg),140.0,3,185.0,555.0,135.0
2024-02-21,Sales,Others,Red Chilli Powder (200g),60.0,5,95.0,475.0,175.0
2024-02-21,Sales,Others,Turmeric Powder (200g),45.0,2,75.0,150.0,60.0
2024-02-21,Sales,Dairy,Fresh Cream (250ml),55.0,1,75.0,75.0,20.0
2024-02-21,Sales,Produce,Alphonso Mangoes (1kg),350.0,3,500.0,1500.0,450.0
2024-02-21,Sales,Produce,Desi Tomatoes (1kg),30.0,4,50.0,200.0,80.0
2024-02-21,Sales,Bakery,Rusk / Toast (250g),40.0,1,65.0,65.0,25.0
2024-02-21,Sales,Produce,Lady Finger (500g),25.0,5,45.0,225.0,100.0
2024-02-21,Sales,Meat,Eggs - Brown (dz),90.0,4,125.0,500.0,140.0
2024-02-21,Sales,Others,Garam Masala (100g),50.0,5,90.0,450.0,200.0
2024-02-21,Sales,Dairy,Mozzarella Cheese (200g),115.0,4,190.0,760.0,300.0
2024-02-21,Sales,Others,Marie Biscuit (Pack),25.0,3,40.0,120.0,45.0
2024-02-21,Sales,Dairy,Full Cream Milk (1L),62.0,5,72.0,360.0,50.0
2024-02-21,Sales,Meat,Chicken Curry Cut (1kg),180.0,5,260.0,1300.0,400.0
2024-02-21,Sales,Dairy,Probiotic Drink (5pk),60.0,4,85.0,340.0,100.0
2024-02-21,Sales,Produce,Spinach/Palak (Bunch),15.0,3,25.0,75.0,30.0
2024-02-21,Sales,Bakery,Multigrain Bread (400g),55.0,3,75.0,225.0,60.0
2024-02-22,Sales,Bakery,Pav Bun (6pk),25.0,4,40.0,160.0,60.0
2024-02-22,Sales,Others,Turmeric Powder (200g),45.0,5,75.0,375.0,150.0
2024-02-22,Expenses,Marketing,Local Pamphlets,0.0,1,0.0,0.0,-981.6478070690256
2024-02-22,Sales,Dairy,Ghee (1L),550.0,1,680.0,680.0,130.0
2024-02-22,Sales,Dairy,Fresh Cream (250ml),55.0,5,75.0,375.0,100.0
2024-02-22,Sales,Meat,Pomfret Fish (Piece),250.0,1,450.0,450.0,200.0
2024-02-22,Sales,Dairy,Mozzarella Cheese (200g),115.0,3,190.0,570.0,225.0
2024-02-22,Expenses,Utilities,Water Cans,0.0,1,0.0,0.0,-474.4858781721367
2024-02-22,Sales,Others,Red Chilli Powder (200g),60.0,4,95.0,380.0,140.0
2024-02-22,Sales,Dairy,Greek Yogurt - Plain (200g),45.0,2,70.0,140.0,50.0
2024-02-22,Expenses,Supplies,Packaging Materials,0.0,1,0.0,0.0,-382.81545594382266
2024-02-22,Expenses,Marketing,Social Media Boost,0.0,1,0.0,0.0,-498.9383849154719
2024-02-22,Expenses,Supplies,Store Consumables,0.0,1,0.0,0.0,-207.25777289941485
2024-02-22,Expenses,Supplies,Packaging Materials,0.0,1,0.0,0.0,-150.59685689574786
2024-02-22,Sales,Others,Marie Biscuit (Pack),25.0,5,40.0,200.0,75.0
2024-02-22,Sales,Meat,Pomfret Fish (Piece),250.0,5,450.0,2250.0,1000.0
2024-02-22,Sales,Produce,Cauliflower (Piece),30.0,5,50.0,250.0,100.0
2024-02-22,Sales,Dairy,Cheese Slices (10pk),130.0,3,175.0,525.0,135.0
2024-02-22,Sales,Others,Ashirvaad Atta (5kg),245.0,2,295.0,590.0,100.0
2024-02-22,Sales,Meat,Chicken Curry Cut (1kg),180.0,3,260.0,780.0,240.0
2024-02-22,Sales,Others,Moong Dal (1kg),110.0,5,150.0,750.0,200.0
2024-02-22,Sales,Dairy,Cheese Slices (10pk),130.0,4,175.0,700.0,180.0
2024-02-22,Sales,Others,Red Chilli Powder (200g),60.0,2,95.0,190.0,70.0
2024-02-22,Sales,Produce,Green Peas (500g),40.0,3,70.0,210.0,90.0
2024-02-22,Sales,Produce,Green Chillies (100g),10.0,3,20.0,60.0,30.0
2024-02-22,Sales,Meat,Chicken Keema (500g),150.0,5,240.0,1200.0,450.0
2024-02-22,Sales,Produce,Red Onions (1kg),35.0,4,50.0,200.0,60.0
2024-02-22,Sales,Others,Marie Biscuit (Pack),25.0,1,40.0,40.0,15.0
2024-02-22,Sales,Produce,Desi Tomatoes (1kg),30.0,4,50.0,200.0,80.0
2024-02-22,Sales,Others,Dishwash Liquid (500ml),85.0,3,130.0,390.0,135.0
2024-02-22,Sales,Others,Moong Dal (1kg),110.0,3,150.0,450.0,120.0
2024-02-22,Sales,Meat,Buff Meat (1kg),280.0,4,400.0,1600.0,480.0
2024-02-22,Sales,Dairy,Skimmed Milk Powder (500g),220.0,4,310.0,1240.0,360.0
2024-02-22,Sales,Produce,Desi Tomatoes (1kg),30.0,5,50.0,250.0,100.0
2024-02-22,Sales,Meat,Tiger Shrimp (500g),400.0,5,650.0,3250.0,1250.0
2024-02-22,Sales,Dairy,Fresh Cream (250ml),55.0,2,75.0,150.0,40.0
2024-02-23,Sales,Meat,Chicken Keema (500g),150.0,1,240.0,240.0,90.0
2024-02-23,Sales,Dairy,Ghee (1L),550.0,4,680.0,2720.0,520.0
2024-02-23,Sales,Bakery,Chocolate Cake (500g),350.0,4,550.0,2200.0,800.0
2024-02-23,Sales,Bakery,Eggless Vanilla Cake (500g),300.0,5,450.0,2250.0,750.0
2024-02-23,Sales,Others,Basmati Rice (5kg),450.0,1,750.0,750.0,300.0
2024-02-23,Sales,Produce,Green Peas (500g),40.0,2,70.0,140.0,60.0
2024-02-23,Sales,Others,Ashirvaad Atta (5kg),245.0,4,295.0,1180.0,200.0
2024-02-23,Sales,Dairy,Curd/Dahi (500g),35.0,5,55.0,275.0,100.0
2024-02-23,Expenses,Utilities,Water Cans,0.0,1,0.0,0.0,-315.46670575482057
2024-02-23,Sales,Produce,Ginger (100g),15.0,1,30.0,30.0,15.0
2024-02-23,Expenses,Maintenance,Equipment Service,0.0,1,0.0,0.0,-496.1084414237194
2024-02-23,Expenses,Others,Transport/Logistics,0.0,1,0.0,0.0,-128.65661606778758
2024-02-23,Expenses,Supplies,Office Stationary,0.0,1,0.0,0.0,-324.9657039165988
2024-02-23,Expenses,Others,Transport/Logistics,0.0,1,0.0,0.0,-169.1397983327364
2024-02-23,Expenses,Marketing,SMS Campaign,0.0,1,0.0,0.0,-701.816438355226
2024-02-23,Sales,Bakery,Fruit Cake Slices (Pack),30.0,1,50.0,50.0,20.0
2024-02-23,Expenses,Maintenance,Waste Disposal,0.0,1,0.0,0.0,-639.044127328031
2024-02-23,Sales,Produce,Coriander Leaves (Bunch),5.0,5,10.0,50.0,25.0
2024-02-23,Sales,Others,Toor Dal (1kg),140.0,4,185.0,740.0,180.0
2024-02-23,Sales,Meat,Rohu Fish (1kg),160.0,1,240.0,240.0,80.0
2024-02-23,Sales,Others,Garam Masala (100g),50.0,2,90.0,180.0,80.0
2024-02-23,Sales,Others,Sunflower Oil (1L),115.0,2,155.0,310.0,80.0
2024-02-23,Sales,Others,Basmati Rice (5kg),450.0,1,750.0,750.0,300.0
2024-02-23,Sales,Others,Dishwash Liquid (500ml),85.0,3,130.0,390.0,135.0
2024-02-23,Sales,Meat,Mutton/Lamb (1kg),750.0,1,950.0,950.0,200.0
2024-02-23,Sales,Meat,Chicken Sausages (250g),110.0,5,180.0,900.0,350.0
2024-02-23,Sales,Produce,Cauliflower (Piece),30.0,3,50.0,150.0,60.0
2024-02-23,Sales,Others,Ashirvaad Atta (5kg),245.0,2,295.0,590.0,100.0
2024-02-23,Sales,Produce,Lemon (4 units),10.0,3,20.0,60.0,30.0
